ZIP Code,County,Feb 2025,Feb 2026,% Change
11224,Kings County,"$537,900.00","$556,722.00",3.50%
11225,Kings County,"$1,070,179.00","$1,110,339.00",3.75%
11226,Kings County,"$761,674.00","$770,806.00",1.20%
11228,Kings County,"$1,125,477.00","$1,174,385.00",4.35%
11229,Kings County,"$735,809.00","$755,362.00",2.66%
11230,Kings County,"$873,937.00","$900,583.00",3.05%
11231,Kings County,"$1,662,930.00","$1,687,360.00",1.47%
11232,Kings County,"$764,542.00","$792,755.00",3.69%
11233,Kings County,"$916,306.00","$1,005,949.00",9.78%
11234,Kings County,"$736,738.00","$764,231.00",3.73%
11235,Kings County,"$583,992.00","$592,117.00",1.39%
11236,Kings County,"$655,078.00","$682,179.00",4.14%
11237,Kings County,"$1,011,791.00","$1,061,809.00",4.94%
11238,Kings County,"$1,151,774.00","$1,202,968.00",4.44%
11239,Kings County,"$669,628.00","$678,975.00",1.40%
11249,Kings County,"$1,458,567.00","$1,475,168.00",1.14%
11354,Queens County,"$647,312.00","$660,431.00",2.03%
11355,Queens County,"$594,317.00","$599,141.00",0.81%
11356,Queens County,"$784,964.00","$820,636.00",4.54%
11357,Queens County,"$940,470.00","$999,964.00",6.33%
11358,Queens County,"$1,017,260.00","$1,067,104.00",4.90%
11360,Queens County,"$598,356.00","$624,714.00",4.40%
11361,Queens County,"$936,124.00","$998,576.00",6.67%
11362,Queens County,"$636,300.00","$692,377.00",8.81%
11363,Queens County,"$1,004,143.00","$1,100,454.00",9.59%
11364,Queens County,"$591,342.00","$627,707.00",6.15%
11365,Queens County,"$945,436.00","$1,003,733.00",6.17%
11366,Queens County,"$1,051,359.00","$1,132,489.00",7.72%
11367,Queens County,"$499,165.00","$511,115.00",2.39%
11368,Queens County,"$518,520.00","$541,021.00",4.34%
11369,Queens County,"$807,679.00","$840,740.00",4.09%
11370,Queens County,"$779,535.00","$821,610.00",5.40%
11372,Queens County,"$448,031.00","$424,051.00",-5.35%
11373,Queens County,"$511,178.00","$521,213.00",1.96%
11374,Queens County,"$428,824.00","$426,368.00",-0.57%
11375,Queens County,"$511,118.00","$515,019.00",0.76%
11377,Queens County,"$531,265.00","$547,171.00",2.99%
11378,Queens County,"$840,190.00","$878,223.00",4.53%
11379,Queens County,"$839,767.00","$897,840.00",6.92%
11385,Queens County,"$837,733.00","$865,571.00",3.32%
11411,Queens County,"$691,156.00","$707,346.00",2.34%
11412,Queens County,"$693,342.00","$733,050.00",5.73%
