ZIP,County,Feb 2025,Feb 2026,% Change
11372,Queens County,448031.0,424051.0,-5.35
11373,Queens County,511178.0,521213.0,1.96
11374,Queens County,428824.0,426368.0,-0.57
11375,Queens County,511118.0,515019.0,0.76
11377,Queens County,531265.0,547171.0,2.99
11378,Queens County,840190.0,878223.0,4.53
11379,Queens County,839767.0,897840.0,6.92
11385,Queens County,837733.0,865571.0,3.32
11411,Queens County,691156.0,707346.0,2.34
11412,Queens County,693342.0,733050.0,5.73
11413,Queens County,691832.0,730727.0,5.62
11414,Queens County,586794.0,625052.0,6.52
11415,Queens County,369500.0,375081.0,1.51
11416,Queens County,713293.0,750765.0,5.25
11417,Queens County,712421.0,752156.0,5.58
11418,Queens County,705616.0,743083.0,5.31
11419,Queens County,733911.0,759194.0,3.44
11420,Queens County,718312.0,754428.0,5.03
11421,Queens County,705222.0,732573.0,3.88
11422,Queens County,699677.0,731817.0,4.59
11423,Queens County,805126.0,823776.0,2.32
11426,Queens County,756816.0,791161.0,4.54
11427,Queens County,722995.0,772885.0,6.9
11428,Queens County,724608.0,769074.0,6.14
11429,Queens County,699253.0,744667.0,6.49
11432,Queens County,847236.0,881236.0,4.01
11433,Queens County,652944.0,709543.0,8.67
11434,Queens County,669675.0,712086.0,6.33
11435,Queens County,546398.0,578360.0,5.85
11436,Queens County,624751.0,683929.0,9.47
11691,Queens County,643733.0,678496.0,5.4
11692,Queens County,587243.0,616154.0,4.92
11694,Queens County,792709.0,858917.0,8.35
